Data table type,filename,column,class,n_unique,n_missing,n_coverage,unique_values,Additional0_Info
UCN,UCN_ECG_TEST.csv,Link using: ECG_TestID,,,,,,Contains information about the measured ECGs for the patiënt with additional statements and measurements compared to EHR data
UCN,UCN_ECG_DETAILS.csv,Link using: ECG_TestID,,,,,,"Not relevant, contains measurements per leads, but in the UCN_ECG_TEST table there is the general inforamtion regarding the ECGs. "
UCN,UCN_ECG_TEST_EXAMINATION.csv,Link using: ECG_TestID,,,,,,"Need to check with Data manager on the meaning of the statements. Not clear from the tables. It can be linked using ECG_testID with the ECG_TEST table, which contains the PSeudoID. "
UCN,UCN_ECHO_FINDING.csv,Link using: ECHO_StudyID,,,,,,"Explicit findings from the echo reports, reports whether something is either normal, abnormal, and the grade of the abnormal measurements. This overlaps with the information also from echo EHR"
UCN,UCN_ECHO_GROUP.csv,Link using: ECHO_StudyID,,,,,,"Measurements per type of structure (left ventricle function, left atrium, others) adn the statements provided based on this."
UCN,UCN_ECHO_MEASUREMENT.csv,Link using: ECHO_StudyID,,,,,,"Individual measurements from the echo reports, please note that this likely overlaps with the EHR ehoc measurements"
UCN,UCN_ECHO_STUDY.csv,Link using: ECHO_StudyID,,,,,,"Echo study statements, which provide a full report. "
UCN,UCN_LAB_BEPALING_KLINCHEM.csv,,,,,,,Use the lab from EHR. 
UCN,UCN_OK_1000004189_OKNAZORG1.csv,,,,,,,"Warning: sometimes newlines are included creating a new line, but not required. Better to use the EHR datafles for this"
UCN,UCN_OK_1000007347_PCI_DETAILS_R.csv,,,,,,,"Warning: sometimes newlines are included creating a new line, but not required. Better to use the EHR datafles for this"
UCN,UCN_OK_1000007347_PCI_DETAILS.csv,,,,,,,"Warning: sometimes newlines are included creating a new line, but not required. Better to use the EHR datafles for this"
UCN,UCN_OK_1000007350_PCI_L_EN_P.csv,,,,,,,"Warning: sometimes newlines are included creating a new line, but not required. Better to use the EHR datafles for this"
UCN,UCN_OK_1000007371_OKNAZORG2.csv,,,,,,,"Warning: sometimes newlines are included creating a new line, but not required. Better to use the EHR datafles for this"
UCN,UCN_OK_1000007373_OKNAZORG3.csv,,,,,,,"Warning: sometimes newlines are included creating a new line, but not required. Better to use the EHR datafles for this"
UCN,UCN_OKVCAR_1000009333_CAGOK.csv,,,,,,,"Warning: sometimes newlines are included creating a new line, but not required. Better to use the EHR datafles for this"
UCN,UCN_PATIENT_DEMOGRAFISCH.csv,,,,,,,Demographics data. Can be used but potentially next to the SMART dataseet double information. 
