lab_testcode,Local Name,Counts
Groeihor-2h-BL,Groeihormoon (+2:00 h),10
Groeihormoon-BL,Groeihormoon,40
GumprSch-BL,Gumprechtse Schollen,51
Haptoglobine-BL,Haptoglobine,1530
Hazelnoot-BL,Hazelnoot,22
Hb-BL,Hemoglobine,144737
HbA1c_2-BL,HbA1c,33303
HbA2-BL,HbA2,113
HbDiagnostiek-BL,Hb diagnostiek,113
HbF-BL,HbF,113
HbMyoCyl-UP,Hb/myoglobulinecylinders,13
hCGtotaal-BL,Totaal hCG,475
HDLchol-BL,HDL-cholesterol,42756
Hep_aXa_Soort-BL,Medicijn soort anti-Xa,451
Heparine_aXa-BL,Anti-Xa,435
HeparineRatio-BL,Heparine ratio,4878
Hexokinase-BL,Hexokinase,22
HiB-BL,anti-Haem. infl. type B,27
HIV-BL,HIV,13
HLA-A_1_ngs-BL,HLA-A  NGS,55
HLA-A_1_sbt-BL,HLA-A (SBT),14
HLA-A_1_sso-BL,HLA-A (SSO),148
HLA-A_2_ngs-BL,HLA-A  NGS,47
HLA-A_2_sbt-BL,HLA-A (SBT),11
HLA-A_2_sso-BL,HLA-A (SSO),119
HLA-AS_3mndScrPRA-BL,HLA as 3 mnd Scr PRA,139
HLA-AS_3mndScrSpec-BL,HLA as 3 mnd Scr Spec.,184
HLA-AS_elisa-BL,HLA AS elisa,230
HLA-AS_kl1-DSA-BL,HLA AS Luminex kl1 DSA,24
HLA-AS_kl1-SA-BL,HLA AS Luminex kl1 SA,154
HLA-AS_kl2-DSA-BL,HLA AS Luminex kl2 DSA,25
HLA-AS_kl2-SA-BL,HLA AS Luminex kl2 SA,158
HLA-B_1_ngs-BL,HLA-B  NGS,55
HLA-B_1_sbt-BL,HLA-B (SBT),19
HLA-B_1_sso-BL,HLA-B (SSO),364
HLA-B_2_ngs-BL,HLA-B  NGS,46
HLA-B_2_sbt-BL,HLA-B (SBT),15
HLA-B_2_sso-BL,HLA-B (SSO),311
HLA-B27_sso-BL,HLA-B27 (SSO),42
HLA-B5701_sso-BL,HLA-B*57:01 SSO,142
HLA-Cw_1_ngs-BL,HLA-Cw  NGS,55
