Position,Var Name,Variable Label,VaR lab English,Value,Value Label,VaL lab English,Missing Values
117,V082202,Vegetariër: eindjaar, , 9999,Missend, ,"-1, 9999"
118,V0823,Melkproducten/eieren niet/wel, ,    0,Nee, ,5 through Highest
118,V0823,Melkproducten/eieren niet/wel, ,    1,Ja, ,5 through Highest
118,V0823,Melkproducten/eieren niet/wel, ,    5,Onbeantwoord, ,5 through Highest
118,V0823,Melkproducten/eieren niet/wel, ,    8,Niet van toepassing (oud), ,5 through Highest
118,V0823,Melkproducten/eieren niet/wel, ,    9,Missend, ,5 through Highest
119,MBSc,Aantal metabool syndroom criteria, ,  999,missing, , 
120,MBS,Metabool syndroom nee/ja, ,    0,no, ,999
120,MBS,Metabool syndroom nee/ja, ,    1,yes, ,999
120,MBS,Metabool syndroom nee/ja, ,  999,missing, ,999
121,MBSc_mis,"Aantal metabool syndroom criteria, met missings aangegeven", ,    ., , ,999
122,MBScgr,Categorieen aantal metabool syndroom componenten, ,    0,0-1Metabool syndroom componenten, ,999
122,MBScgr,Categorieen aantal metabool syndroom componenten, ,    1,2-3Metabool syndroom componenten, ,999
122,MBScgr,Categorieen aantal metabool syndroom componenten, ,    2,4-5 Metabool syndroom componenten, ,999
123,kl1fysfc,KvL: fysiek functioneren, ,  999,Missend, ,999.000000
124,kl2socfc,KvL: sociaal functioneren, ,  999,Missend, ,999.000000
125,kl3rolfy,KvL: rolbeperkingen fysiek probleem, ,  999,Missend, ,999.000000
126,kl4rolem,KvL: rolbeperkingen emotioneel probleem, ,  999,Missend, ,999.000000
127,kl5mengz,KvL: mentale gezondheid, ,  999,Missend, ,999.000000
128,kl6vital,KvL: vitaliteit, ,  999,Missend, ,999.000000
129,kl7pijn,KvL: pijn, ,  999,Missend, ,999.000000
130,kl8alggz,KvL: algemene gezondheidsbeleving, ,  999,Missend, ,999.000000
131,kl9gezva,KvL: gezondheidsverandering, ,  999,Missend, ,999.000000
132,mht01,Niet/wel L10 med. (beta-rec.-blokk. sympathicolytica), ,    0,Nee, ,9
132,mht01,Niet/wel L10 med. (beta-rec.-blokk. sympathicolytica), ,    1,Ja, ,9
132,mht01,Niet/wel L10 med. (beta-rec.-blokk. sympathicolytica), ,    9,Missend, ,9
133,mht02,Niet/wel L20 med. (diuretica), ,    0,Nee, ,9
133,mht02,Niet/wel L20 med. (diuretica), ,    1,Ja, ,9
133,mht02,Niet/wel L20 med. (diuretica), ,    9,Missend, ,9
134,mht02a,Niet/wel lisdiuretica (vanaf juli 2001), ,    0,Nee, ,"8, 9"
134,mht02a,Niet/wel lisdiuretica (vanaf juli 2001), ,    1,Ja, ,"8, 9"
134,mht02a,Niet/wel lisdiuretica (vanaf juli 2001), ,    8,niet geregistreerd voor 1-7-2001, ,"8, 9"
134,mht02a,Niet/wel lisdiuretica (vanaf juli 2001), ,    9,Missend, ,"8, 9"
